Chromosome	Start	Stop	Gene symbol	Strand
chr16	2410437	2410627	ABCA17P	+
chr7	72103342	72104074	ABCF2P2	+
chr4	128009192	128011672	ABHD18	+
chr3	179574468	179575402	ACTL6A	+
chr3	179574468	179576216	ACTL6A	+
chr7	100648824	100650037	ACTL6B	-
chr19	40743976	40744066	ACTMAP	-
chr14	58211400	58213630	ACTR10	+
chr6	143432612	143433830	ADAT2	-
chr6	68628219	68630269	ADGRB3-DT	-
chr6	68628591	68630269	ADGRB3-DT	-
chr6	68628985	68630269	ADGRB3-DT	-
chr1	48539739	48587003	AGBL4	-
chr1	246887358	246888176	AHCTF1	-
chr22	49907945	49909243	ALG12	-
chr3	184242958	184243553	ALG3	-
chr1	63407127	63411145	ALG6	+
chr1	63407127	63411254	ALG6	+
chr11	78119250	78121064	ALG8	-
chr1	103663606	103664356	AMY1A	+
chr2	200593204	200595271	AOX1	+
chr19	16203616	16206340	AP1M1	+
chr19	10583674	10583913	AP1M2	-
chr19	49803377	49805452	AP2A1	+
chr11	1006618	1008011	AP2A2	+
chr11	1006618	1008013	AP2A2	+
chr15	50948160	50949823	AP4E1	+
chr15	50948160	50949825	AP4E1	+
chr7	100101773	100101879	AP4M1	+
chr14	31080585	31092906	AP4S1	+
chrX	47569034	47569538	ARAF	+
chr1	94334696	94335166	ARHGAP29-AS1	+
chr17	81683595	81683692	ARL16	-
chr11	65014273	65018363	ARL2	+
chr11	65014273	65018363	ARL2-SNX15	+
chr2	231222821	231225129	ARMC9	+
chr2	231222821	231226773	ARMC9	+
chr2	231222821	231226776	ARMC9	+
chr1	44689904	44697101	ARMH1	+
chr1	183633155	183635516	ARPC5	-
